"bureau","adresse","latitude","longitude","dupont","lepen","macron","hamon","arthaud","poutou","cheminade","lassale","melenchon","asselineau","fillon","blancs","nuls","abstentions","inscrits"
47,"12 rue Estienne d'Orves   ",48.8571113,2.4362601,3.03,9.34,25.63,12.12,0.51,1.01,0,0.76,35.98,0.63,10.98,1,0.12,22.61,1035
48,"Ecole maternelle Danielle Casanova",48.8748349,2.4547078,1.9,13.7,18.8,8.31,1.17,1.17,0.58,0.73,43,1.46,9.18,1.69,1.41,32.51,1049
49,"Ecole maternelle Danielle Casanova",48.8748349,2.4547078,2.43,13.3,24.68,10.36,0.38,1.28,0.26,0.38,34.78,1.41,10.74,1.75,0.5,24.39,1058
50,"171, Boulevard Aristide Briand   ",48.8747113,2.454831,1.65,11.74,19.17,11.57,1.32,0.99,0.33,0.17,40,1.65,11.4,1.3,0.33,31.21,894
51,"171, Boulevard Aristide Briand   ",48.8747113,2.454831,2.71,11.91,22.87,12.58,0.27,1.22,0.14,0.54,37.48,2.3,7.98,0.93,0.93,29.56,1069
52,"Ecole maternelle Georges Méliès",NA,NA,1.89,12.16,23.92,8.78,0.54,1.08,0.27,0.95,38.11,1.49,10.81,1.19,1.06,30.1,1083
53,"60, rue Franklin   ",48.8635341,2.4442755,0.9,6.33,28.02,12.77,0.11,1.47,0.11,0.23,41.69,1.36,7.01,0.78,0.45,20.43,1126
54,"36-38 rue des Roche   ",48.8730197,2.4618613,1.38,15.08,18.77,7.69,0.46,1.08,0.15,0.46,47.85,1.85,5.23,2.07,1.63,31.68,988
55,"50, avenue de la Résistance   ",48.8607802,2.4374185,1.48,5.82,25.77,15.74,0.23,1.94,0.23,1.03,38.43,0.68,8.67,0.78,0.9,18.24,1091
56,"25, rue de Vinconnos   ",48.8553735,2.4378828,0.76,4.68,26.93,18.46,0.25,2.02,0,0.13,35.9,0.88,9.99,0.63,0.38,17.37,967
57,"12-14 rue de la Révolution  ",48.8557853,2.4288824,2.2,2.98,29.66,14.64,0.26,1.3,0.39,0.26,40.54,0.78,6.99,0.51,0.51,17.2,942
